"year","teamid","rank","games","wins","loses","WSWin","runs","at_basts","hits","doubles","triples","home_runs","walks","strikeouts","stolen_bases","caught_stealing","sacrifice_flies","runs_against","earned_runs","earned_run_average","errors","fielding_percentage"
1993,"ML4",7,162,69,93,"N",733,5525,1426,240,25,125,555,932,138,"93","",792,715,4.45,131,0.979
1993,"MON",2,163,94,68,"N",732,5493,1410,270,36,122,542,860,228,"56","",682,574,3.55,159,0.975
1993,"NYA",2,162,88,74,"N",821,5615,1568,294,24,178,629,910,39,"35","",761,695,4.35,101,0.984
1993,"NYN",7,162,59,103,"N",672,5448,1350,228,37,158,448,879,79,"50","",744,647,4.05,156,0.975
1993,"OAK",7,162,68,94,"N",715,5543,1408,260,21,158,622,1048,131,"59","",846,791,4.9,111,0.982
1993,"PHI",1,162,97,65,"N",877,5685,1555,297,51,156,665,1049,91,"32","",740,646,3.95,141,0.977
1993,"PIT",5,162,75,87,"N",707,5549,1482,267,50,110,536,972,92,"55","",806,766,4.77,105,0.983
1993,"SDN",7,162,61,101,"N",679,5503,1386,239,28,153,443,1046,92,"41","",772,675,4.23,160,0.974
1993,"SEA",4,162,82,80,"N",734,5494,1429,272,24,161,624,901,91,"68","",731,678,4.2,90,0.985
1993,"SFN",2,162,103,59,"N",808,5557,1534,269,33,168,516,930,120,"65","",636,584,3.61,101,0.984
